#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 03:53:46
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 03:53:46 172.31.22.76 POST / - 80 - 222.186.31.57 Mozilla/5.0 - 405 0 1 375
2015-10-31 04:00:31 172.31.22.76 GET /images/social.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 265
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 05:22:08
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 05:22:08 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 265
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 06:27:37
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 06:27:37 172.31.22.76 GET /favicon.ico - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 187
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 06:46:20
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 06:46:20 172.31.22.76 GET /manager/html - 80 - 202.109.143.18 Mozilla/3.0+(compatible;+Indy+Library) - 404 0 1236 10000
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 08:11:24
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 08:11:24 172.31.22.76 GET /images/bg.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 234
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 09:13:44
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 09:13:44 172.31.22.76 GET / - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 296
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 12:10:06
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 12:10:06 172.31.22.76 GET /tools/960.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 312
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 15:28:46
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 15:28:46 172.31.22.76 GET /config/isp_verify_user - 80 - 84.51.79.188 - - 404 0 2 249
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 16:55:53
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 16:55:53 172.31.22.76 GET /images/logo.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 250
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 18:14:46
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 18:14:46 172.31.22.76 GET /images/watch.png - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 18:35:26
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 18:35:26 172.31.22.76 GET /testproxy.php - 80 - 185.25.148.240 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 187
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-10-31 19:29:56
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-10-31 19:29:56 172.31.22.76 GET /tools/style.css - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 203
