#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 00:46:38
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 00:46:38 172.31.22.76 GET / - 80 - 141.212.122.160 Mozilla/5.0+zgrab/0.x - 200 0 0 187
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 02:48:07
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 02:48:07 172.31.22.76 GET /images/logo.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 04:07:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 04:07:00 172.31.22.76 GET /images/watch.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 234
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 05:22:10
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 05:22:10 172.31.22.76 GET /tools/style.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 453
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 11:08:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 11:08:00 172.31.22.76 GET /axis2/axis2-admin/ - 80 - 58.221.47.25 Mozilla/4.0+(compatible;+Win32;+WinHttp.WinHttpRequest.5) - 404 0 2 1125
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 12:55:15
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 12:55:15 172.31.22.76 GET / - 80 - 169.54.233.126 Mozilla/5.0+(Windows+NT+6.1;+rv:31.0)+Gecko/20100101+Firefox/31.0 - 200 0 0 453
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 13:12:24
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 13:12:24 172.31.22.76 GET /images/social.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 234
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 14:34:01
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 14:34:01 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 281
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 15:37:15
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 15:37:15 172.31.22.76 POST /tmUnblock.cgi - 80 - 176.102.48.81 - - 404 0 2 484
2015-11-21 15:39:30 172.31.22.76 GET /favicon.ico - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
2015-11-21 15:47:46 172.31.22.76 POST /tmUnblock.cgi - 80 - 175.156.54.13 - - 404 0 2 453
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 16:41:54
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 16:41:54 172.31.22.76 GET /testproxy.php - 80 - 185.49.14.190 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 17:23:16
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 17:23:16 172.31.22.76 GET /images/bg.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 328
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 18:25:36
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 18:25:36 172.31.22.76 GET / - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 343
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-11-21 21:21:58
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-11-21 21:21:58 172.31.22.76 GET /tools/960.css - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 203
