#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 00:01:40
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 00:01:40 172.31.22.76 GET / - 80 - 31.13.102.123 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 206 0 0 328
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 00:30:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 00:30:25 172.31.22.76 GET /tools/960.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
2015-12-22 00:39:43 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 156
2015-12-22 00:47:32 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 171
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 01:17:45
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 01:17:45 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 02:41:22
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 02:41:22 172.31.22.76 GET /testproxy.php - 80 - 91.196.50.33 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 312
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 03:33:09
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 03:33:09 172.31.22.76 GET /httptest.php - 80 - 188.68.224.62 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 05:16:11
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-22 05:16:11 172.31.22.76 GET /images/logo.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-22 06:35:04
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
