#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 01:11:33
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 01:11:33 172.31.22.76 GET /testproxy.php - 80 - 185.25.151.159 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 203
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 02:34:42
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 02:34:42 172.31.22.76 GET /images/logo.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 03:53:34
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 03:53:34 172.31.22.76 GET /images/watch.png - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 05:08:44
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 05:08:44 172.31.22.76 GET /tools/style.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 234
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 12:58:58
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 12:58:58 172.31.22.76 GET /images/social.png - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 14:20:36
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 14:20:36 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 15:26:05
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 15:26:05 172.31.22.76 GET /favicon.ico - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 202
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 17:09:51
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 17:09:51 172.31.22.76 GET /images/bg.png - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 171
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 18:12:11
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 18:12:11 172.31.22.76 GET / - 80 - 200.41.111.69 Mozilla/4.0+(compatible;) - 304 0 0 718
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2015-12-26 21:08:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2015-12-26 21:08:32 172.31.22.76 GET /tools/960.css - 80 - 200.48.158.133 Mozilla/4.0+(compatible;) - 304 0 0 203
