#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 05:08:04
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 05:08:04 172.31.22.76 GET / - 80 - 89.248.174.55 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Ubuntu+Chromium/50.0.2661.102+Chrome/50.0.2661.102+Safari/537.36 - 200 0 0 879
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 10:16:45
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 10:16:45 172.31.22.76 GET /phpMyAdmin - 80 - 211.140.169.244 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://52.25.39.214/phpMyAdmin 404 0 2 836
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 12:10:29
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 12:10:29 172.31.22.76 GET /robots.txt - 80 - 66.249.75.35 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 0 2 95
2016-05-29 12:10:29 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 66.249.75.35 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 94
2016-05-29 12:10:30 172.31.22.76 GET /tools/960.css - 80 - 66.249.75.43 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 51
2016-05-29 12:10:30 172.31.22.76 GET /tools/style.css - 80 - 66.249.75.27 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 50
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 15:54:09
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 15:54:09 172.31.22.76 GET /testproxy.php - 80 - 185.25.151.159 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 237
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 17:17:54
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 17:17:54 172.31.22.76 GET /testproxy.php - 80 - 185.25.151.159 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 237
2016-05-29 17:17:57 172.31.22.76 GET /testproxy.php - 80 - 185.25.151.159 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 191
2016-05-29 17:18:02 172.31.22.76 GET /testproxy.php - 80 - 185.25.151.159 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 192
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-05-29 20:37:11
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-05-29 20:37:11 172.31.22.76 GET /robots.txt - 80 - 66.249.75.239 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 0 2 96
2016-05-29 20:37:11 172.31.22.76 GET / - 80 - 66.249.75.239 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 757
2016-05-29 20:37:26 172.31.22.76 GET /tools/style.css - 80 - 66.249.75.247 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 49
2016-05-29 20:37:26 172.31.22.76 GET /assets/css/mainStylesheet.css - 80 - 66.249.75.247 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 50
2016-05-29 20:37:26 172.31.22.76 GET /tools/960.css - 80 - 66.249.75.239 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 0 0 52
